description,latitude,longitude,altitude
"Jet, Oklahoma",36.666527,-98.181648,380.0
"Johnson, Oklahoma",35.413769,-96.849312,296.0
"Johnson Prairie, Oklahoma",36.079103,-94.975868,341.0
"Jones, Oklahoma",35.56673,-97.288914,339.0
"Justice, Oklahoma",36.290802,-95.563561,198.0
"Kansas, Oklahoma",36.205359,-94.788945,351.0
"Katie, Oklahoma",34.590712,-97.32562,296.0
"Kaw City, Oklahoma",36.766748,-96.861777,359.0
"Keefton, Oklahoma",35.578506,-95.306315,164.0
"Kellyville, Oklahoma",35.968997,-96.193923,252.0
"Kemp, Oklahoma",33.769572,-96.354436,194.0
"Kendrick, Oklahoma",35.785303,-96.775512,263.0
"Kenefic, Oklahoma",34.149955,-96.36441,201.0
"Kenton, Oklahoma",36.906359,-102.965209,1319.0
"Kenwood, Oklahoma",36.301244,-94.997873,246.0
"Keota, Oklahoma",35.257388,-94.922314,150.0
"Ketchum, Oklahoma",36.517568,-95.037332,239.0
"Keyes, Oklahoma",36.807634,-102.251735,1203.0
"Keys, Oklahoma",35.802786,-94.941358,276.0
"Kiefer, Oklahoma",35.943753,-96.05314,212.0
"Kildare, Oklahoma",36.80836,-97.049982,342.0
"Kingfisher, Oklahoma",35.844726,-97.939308,333.0
"Kingston, Oklahoma",34.000377,-96.706504,240.0
"Kinta, Oklahoma",35.119759,-95.238238,169.0
"Kiowa, Oklahoma",34.723294,-95.902895,229.0
"Knowles, Oklahoma",36.872893,-100.192416,772.0
"Konawa, Oklahoma",34.957894,-96.753806,303.0
"Krebs, Oklahoma",34.929783,-95.718636,203.0
"Kremlin, Oklahoma",36.546573,-97.83233,341.0
"Lahoma, Oklahoma",36.387988,-98.090322,379.0
"Lake Aluma, Oklahoma",35.53147,-97.447417,341.0
"Lake Ellsworth Addition, Oklahoma",34.836829,-98.321326,389.0
"Lakeside Village, Oklahoma",34.798885,-98.381096,388.0
"Lamar, Oklahoma",35.094209,-96.124823,232.0
"Lambert, Oklahoma",36.683241,-98.423656,389.0
"Lamont, Oklahoma",36.691319,-97.558274,309.0
"Lane, Oklahoma",34.29988,-95.989631,177.0
"Langley, Oklahoma",36.480261,-95.05721,245.0
"Langston, Oklahoma",35.931276,-97.279406,287.0
"Latta, Oklahoma",34.753149,-96.708797,302.0
"Laverne, Oklahoma",36.705318,-99.896732,646.0
"Lawrence Creek, Oklahoma",36.083804,-96.426756,236.0
"Lawton, Oklahoma",34.617172,-98.4214,349.0
"Lawtonka Acres, Oklahoma",34.780499,-98.529603,417.0
"Le Flore, Oklahoma",34.894594,-94.978025,175.0
"Leach, Oklahoma",36.197849,-94.909861,346.0
"Lebanon, Oklahoma",33.971745,-96.92384,200.0
"Leedey, Oklahoma",35.868423,-99.344924,627.0
"Lehigh, Oklahoma",34.474729,-96.221689,180.0
"Lenapah, Oklahoma",36.851347,-95.635696,231.0
"Leon, Oklahoma",33.877336,-97.429083,248.0
"Leonard, Oklahoma",35.922786,-95.801007,183.0
"Lequire, Oklahoma",35.111147,-95.111859,166.0
"Lexington, Oklahoma",35.017605,-97.335018,315.0
"Liberty, Oklahoma",35.460861,-94.545749,262.0
"Liberty, Oklahoma",35.853024,-95.986245,205.0
"Lima, Oklahoma",35.173708,-96.598114,276.0
"Limestone, Oklahoma",36.314343,-95.747728,216.0
"Lindsay, Oklahoma",34.840485,-97.609851,298.0
"Little City, Oklahoma",34.083955,-96.616047,230.0
"Little Ponderosa, Oklahoma",36.961186,-100.878139,852.0
"Little Rock, Oklahoma",36.214953,-95.091226,283.0
"Loco, Oklahoma",34.329506,-97.680638,294.0
"Locust Grove, Oklahoma",36.198162,-95.168874,205.0
"Lone Chimney, Oklahoma",36.23265,-96.792914,328.0
